what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1301951459645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951465227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951469297
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1301951469306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951473248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951474557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1301951474563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951481633
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1301951501420
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1301951501432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951501443
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301951504238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301951505356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1301951508932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951510472
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951534971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301951591987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951600595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951603297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1301951607355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951608822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951615081
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301951617268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1301951619783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951621286
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951628369
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301951629514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1301951634665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951635997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951642853
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301951644027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1301951647750
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951649027
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951697826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301951699018
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1301951702137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951703909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951714019
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301951715465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301951716495
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1301951719873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301951720898
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1301951722399
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1301951722542
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301951722585
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1301951729819
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1301951733542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951733991
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951739705
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1301951763117
error,log,,,"Internal Error",1301951764904
error,log,,,"Resource '/Internationalization Lab/src/MessageBundle_de_DE.properties' does not exist.",1301951764905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951764912
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1301951764939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951770647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951770675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301951770704
